,CSF,WM,GM
252.0,0.9993338737533545,0.0006661262466455552,0.0
253.0,0.9989600436553798,0.0010009278129987677,3.9028531621544326e-05
254.0,0.9994468669269432,0.00048211533895043616,7.101773410644127e-05
255.0,0.9991813379999441,0.0008186620000559848,0.0
256.0,0.9990075507823222,0.0009924492176779365,0.0
257.0,0.9985349718938887,0.001427186539420038,3.784156669137622e-05
258.0,0.9990533209496607,0.0008698034957999638,7.687555453935726e-05
259.0,0.9987424935842882,0.0011793320312182029,7.817438449348581e-05
260.0,0.9992516448873215,0.0007091805680127863,3.9174544665673425e-05
261.0,0.9991501352971699,0.0008086325290453971,4.1232173784808844e-05
262.0,0.9991695823823146,0.0007478017269647224,8.26158907205677e-05
263.0,0.9987477609109892,0.0010914618963371217,0.00016077719267370294
264.0,0.9990991388646691,0.0008174931786861696,8.336795664472113e-05
265.0,0.9988361931664338,0.0011201303157582787,4.367651780785937e-05
266.0,0.998617043852834,0.0013008338824725965,8.212226469340409e-05
267.0,0.9992397045943965,0.0007602954056034785,0.0
268.0,0.9989770852942297,0.0010229147057703382,0.0
269.0,0.9987674042489346,0.0010963344003432783,0.000136261350721996
270.0,0.9986504519764068,0.001208214626310568,0.00014133339728256435
271.0,0.9990030257195808,0.0009519036797430516,4.5070600676099986e-05
272.0,0.998765642475968,0.0011905154679302048,4.38420561017271e-05
273.0,0.9989344366828884,0.0009790337051270403,8.652961198453478e-05
274.0,0.9985146750640921,0.0013445946972690452,0.00014073023863878776
275.0,0.9986079992870286,0.0011002670873169213,0.00029173362565449216
276.0,0.9987213459325684,0.001186152324723873,9.250174270761519e-05
277.0,0.9986520871913226,0.001213812790889988,0.000134100017787369
278.0,0.9978244848326748,0.0021755151673251223,0.0
279.0,0.9989605313384263,0.0008513558955877418,0.00018811276598591222
280.0,0.9983522156573652,0.001549936133766591,9.784820886823167e-05
281.0,0.9988877239469847,0.0007597467251665897,0.00035252932784877
282.0,0.9985973325309503,0.0014026674690496323,0.0
283.0,0.9986152719078996,0.00123164877144787,0.00015307932065255353
284.0,0.9980990408070249,0.001704465446621573,0.00019649374635353844
285.0,0.998267741766584,0.001681591127012444,5.066710640356564e-05
286.0,0.9974573354186845,0.0023794959737982327,0.0001631686075171206
287.0,0.9984446363741467,0.0015054671732312205,4.9896452621968834e-05
288.0,0.9984117479041905,0.0015347093172323526,5.35427785770559e-05
289.0,0.998488680651569,0.0013609624780143938,0.00015035687041644718
290.0,0.9987511954128505,0.001204449398556214,4.43551885932227e-05
291.0,0.9981995541595541,0.0015017969825276013,0.00029864885791831976
292.0,0.9984408005622903,0.0014181882655149652,0.00014101117219464883
293.0,0.9986832841537225,0.001162587029243045,0.000154128817034343
294.0,0.9975835647846653,0.0022662146412947034,0.00015022057403998436
295.0,0.998532511106169,0.0012470531262502682,0.00022043576758071812
296.0,0.9978356693164987,0.0021643306835012082,0.0
297.0,0.9978956766671951,0.0018779851426927452,0.00022633819011207138
298.0,0.998642529533945,0.0013574704660550667,0.0
299.0,0.9976311092238952,0.0018635455042795522,0.0005053452718252108
300.0,0.9980250094331382,0.0018577123014365743,0.00011727826542524047
301.0,0.9977147924471937,0.0019603442033877725,0.0003248633494184672
302.0,0.9969856154495293,0.002739266706329122,0.0002751178441414619
